country_code,country_name,wb_region,wb_income,isic_section_index,isic_section_name,industry_id,industry_name,2015,2016,2017,2018,2019
ae,United Arab Emirates,Middle East & North Africa,High income,B,Mining and quarrying,56,Mining & Metals,0.078,0.0585495675316034,0.04340239912759,0.0100481473728282,-6.21375310687621e-4
ae,United Arab Emirates,Middle East & North Africa,High income,B,Mining and quarrying,57,Oil & Energy,0.0330148256063074,0.013478553881606,0.0174590734935562,0.0185141585154426,0.0226059392726059
ae,United Arab Emirates,Middle East & North Africa,High income,C,Manufacturing,15,Pharmaceuticals,0.171366594360086,0.136986301369863,0.0906305434607321,0.048148148148148,0.0284233900814212
ae,United Arab Emirates,Middle East & North Africa,High income,C,Manufacturing,23,Food Production,0.0633512828634779,0.038647342995169,0.0221366698748797,0.00598991172761653,0.00431699044094968
ae,United Arab Emirates,Middle East & North Africa,High income,C,Manufacturing,52,Aviation & Aerospace,0.0966074313408724,0.0567441860465116,0.0286727756429205,0.0150482680295287,8.16104461371036e-4
ae,United Arab Emirates,Middle East & North Africa,High income,C,Manufacturing,53,Automotive,0.0781708211143694,0.0550905913731261,0.02982250653212,0.00618736383442275,0.00204237937196838
ae,United Arab Emirates,Middle East & North Africa,High income,C,Manufacturing,54,Chemicals,0.126445449974861,0.0981122702434178,0.067065868263473,0.0292839167238618,0.0123402379903041
ae,United Arab Emirates,Middle East & North Africa,High income,C,Manufacturing,55,Machinery,0.0971244131455399,0.0751034890597279,0.0322398190045249,0.0237045203969128,0.00106723585912482
ae,United Arab Emirates,Middle East & North Africa,High income,C,Manufacturing,58,Shipbuilding,0.0526315789473683,0.0280193236714976,-9.6339113680155e-4,9.78473581213279e-4,-0.00192307692307691
ae,United Arab Emirates,Middle East & North Africa,High income,C,Manufacturing,60,Textiles,0.101750547045951,0.0737797956867196,0.0511111111111111,-0.00855614973262031,-0.00425985090521829
ae,United Arab Emirates,Middle East & North Africa,High income,C,Manufacturing,61,Paper & Forest Products,0.0740740740740741,0.0731707317073171,0.0366492146596859,0.0392670157068062,0.036764705882353
ae,United Arab Emirates,Middle East & North Africa,High income,C,Manufacturing,83,Printing,0.0459418070444104,0.018181818181818,0.00399201596806397,0.00492368291482026,-0.00145914396887159
ae,United Arab Emirates,Middle East & North Africa,High income,C,Manufacturing,112,Electrical & Electronic Manufacturing,0.0835433585363576,0.0713345864661654,0.0440865163368615,0.0179147259046936,0.00506417532524228
ae,United Arab Emirates,Middle East & North Africa,High income,C,Manufacturing,117,Plastics,0.0248508946322068,-0.00390243902439024,-0.0202604920405209,-0.022488038277512,-0.0119502868068833
ae,United Arab Emirates,Middle East & North Africa,High income,C,Manufacturing,144,Renewables & Environment,0.0963101938711694,0.0980024968789012,0.0840140023337223,0.0590128755364807,-9.85707244948286e-4
ae,United Arab Emirates,Middle East & North Africa,High income,C,Manufacturing,145,"Glass, Ceramics & Concrete",0.0362239297475301,0.0444938820912124,0.0306345733041575,0.0226049515608179,0.00844772967265039
ae,United Arab Emirates,Middle East & North Africa,High income,C,Manufacturing,146,Packaging & Containers,0.0949197860962567,0.0737327188940091,0.0369191597708467,0.0251225490196078,0.00468933177022279
ae,United Arab Emirates,Middle East & North Africa,High income,C,Manufacturing,147,Industrial Automation,0.10707151418298,0.0800634165675782,0.0528345545699961,0.044809559372666,0.0294328786791098
ae,United Arab Emirates,Middle East & North Africa,High income,J,Information and communication,3,Computer Hardware,-0.0213836477987421,0.0149253731343284,-0.00805369127516775,-0.00806451612903225,-0.00132450331125832
ae,United Arab Emirates,Middle East & North Africa,High income,J,Information and communication,4,Computer Software,0.215212798068216,0.180742987111448,0.134931009440813,0.0903978052126199,0.0357642866233931
ae,United Arab Emirates,Middle East & North Africa,High income,J,Information and communication,5,Computer Networking,0.194148936170212,0.0571791613722998,0.0430809399477807,0.0357615894039735,0.0549738219895288
ae,United Arab Emirates,Middle East & North Africa,High income,J,Information and communication,6,Internet,0.349427168576104,0.260620276257492,0.176924877135502,0.132809179770505,0.108834586466165
ae,United Arab Emirates,Middle East & North Africa,High income,J,Information and communication,7,Semiconductors,0.0708215297450425,0.0414012738853504,0.0067340067340067,0.0100671140939596,-0.00986842105263152
ae,United Arab Emirates,Middle East & North Africa,High income,J,Information and communication,8,Telecommunications,0.119793732645775,0.105138840880285,0.0372519759022826,0.0232951445717404,0.00185607466723225
